key,value
0,"{""station_id"": 0, ""s_no"": 4231, ""battery_status"": ""medium"", ""status_timestamp"": 1779539316, ""weather"": {""humidity"": 58, ""temperature"": 92, ""wind_speed"": 28}}"
1,"{""station_id"": 1, ""s_no"": 4229, ""battery_status"": ""medium"", ""status_timestamp"": 1779539316, ""weather"": {""humidity"": 82, ""temperature"": 115, ""wind_speed"": 45}}"
2,"{""station_id"": 2, ""s_no"": 4227, ""battery_status"": ""medium"", ""status_timestamp"": 1779539316, ""weather"": {""humidity"": 19, ""temperature"": 73, ""wind_speed"": 16}}"
3,"{""station_id"": 3, ""s_no"": 4225, ""battery_status"": ""low"", ""status_timestamp"": 1779539316, ""weather"": {""humidity"": 100, ""temperature"": 88, ""wind_speed"": 9}}"
4,"{""station_id"": 4, ""s_no"": 4223, ""battery_status"": ""medium"", ""status_timestamp"": 1779539316, ""weather"": {""humidity"": 85, ""temperature"": 90, ""wind_speed"": 35}}"
5,"{""station_id"": 5, ""s_no"": 4221, ""battery_status"": ""low"", ""status_timestamp"": 1779539316, ""weather"": {""humidity"": 59, ""temperature"": 79, ""wind_speed"": 21}}"
6,"{""station_id"": 6, ""s_no"": 4219, ""battery_status"": ""medium"", ""status_timestamp"": 1779539316, ""weather"": {""humidity"": 43, ""temperature"": 98, ""wind_speed"": 37}}"
7,"{""station_id"": 7, ""s_no"": 4217, ""battery_status"": ""medium"", ""status_timestamp"": 1779539316, ""weather"": {""humidity"": 44, ""temperature"": 111, ""wind_speed"": 23}}"
8,"{""station_id"": 8, ""s_no"": 4214, ""battery_status"": ""low"", ""status_timestamp"": 1779539315, ""weather"": {""humidity"": 78, ""temperature"": 62, ""wind_speed"": 21}}"
9,"{""station_id"": 9, ""s_no"": 4213, ""battery_status"": ""medium"", ""status_timestamp"": 1779539315, ""weather"": {""humidity"": 52, ""temperature"": 117, ""wind_speed"": 35}}"
